from,number_fanfic,to
Harry Potter,4022,Twilight
Harry Potter,3268,Percy Jackson and the Olympians
Harry Potter,2556,Naruto
Harry Potter,1867,Avengers
Harry Potter,1288,Supernatural
Twilight,4022,Harry Potter
Twilight,1204,Vampire Diaries
Twilight,529,Percy Jackson and the Olympians
Twilight,436,Supernatural
Twilight,433,Maximum Ride
Percy Jackson and the Olympians,3268,Harry Potter
Percy Jackson and the Olympians,863,Kane Chronicles
Percy Jackson and the Olympians,646,Naruto
Percy Jackson and the Olympians,602,Avengers
Percy Jackson and the Olympians,529,Twilight
Naruto,2556,Harry Potter
Naruto,2394,High School DxD/ハイスクールD×D
Naruto,2222,Bleach
Naruto,1600,Fairy Tail
Naruto,1453,Inuyasha
Avengers,1867,Harry Potter
Avengers,1100,Thor
Avengers,602,Percy Jackson and the Olympians
Avengers,589,Captain America
Avengers,578,Agents of S.H.I.E.L.D.
Supernatural,1288,Harry Potter
Supernatural,939,Doctor Who
Supernatural,624,Buffy: The Vampire Slayer
Supernatural,462,Sherlock
Supernatural,436,Twilight
